trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.1, 'e': 0.12736782148132073}",25,13,21.409383162658557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.12482046505169431}",25,0,22.672086418406533,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.1, 'e': 0.12232405575066042}",20,11,14.43203834932276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.11987757463564722}",20,0,33.755796962783904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.11748002314293426}",20,8,-17.94048141510473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.1, 'e': 0.11513042268007558}",25,13,17.627283302615083,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.11282781422647406}",25,12,24.041003165331663,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.11057125794194458}",20,0,9.559031574369591,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.1, 'e': 0.10835983278310568}",20,2,27.88498084968756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.10619263612744358}",30,24,11.930606361180157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.1040687834048947}",20,12,11.811997827832961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.1019874077367968}",20,12,11.125774098790277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.09994765958206087}",20,13,6.9997242453374255,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.09794870639041964}",20,4,28.531711965244575,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.09598973226261125}",20,16,7.232751636320279,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.09406993761735903}",30,11,-44.863729918707556,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
119,False,"{'a': 0.1, 'e': 0.09218853886501184}",30,4,40.96554078103634,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.09034476808771161}",25,13,7.197873101972582,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.08853787272595737}",20,0,24.987703842304292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.08676711527143822}",25,3,31.087148480318014,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.08503177296600946}",20,3,28.344607963765068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.08333113750668926}",20,3,22.4187035365422,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.08166451475655548}",25,8,25.82777398900496,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.08003122446142437}",35,24,18.213335340739253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.07843059997219588}",20,3,22.871207277337522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.07686198797275196}",20,0,30.356607682293383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.07532474821329692}",30,16,23.776309192066112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.07381825324903098}",25,8,27.501713269847286,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.07234188818405035}",20,3,30.78508294355923,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.07089505042036935}",20,11,15.932653720633226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.06947714941196197}",25,16,15.291270344580848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.06808760642372272}",20,13,11.809599236207529,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.06672585429524826}",30,12,19.89124714727811,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.0653913372093433}",20,8,-1.1062069565268302,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.06408351046515644}",20,15,8.267064491535567,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.0628018402558533}",30,16,27.47186899917955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.061545803450736236}",25,16,11.527631529660255,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.060314887381721506}",35,19,8.501749122132404,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.05910858963408708}",25,13,20.0188594306213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.057926417841405335}",20,8,19.412813235592584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.05676788948457723}",20,5,26.42828586675715,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.05563253169488568}",20,2,29.713636053716023,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.054519881060987964}",30,12,31.754163240675386,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.05342948343976821}",35,18,27.449491497638174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.05236089377097284}",25,1,-11.695597028484794,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.1, 'e': 0.051313675895553384}",20,8,21.065982513665706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
