trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.3, 'e': 0.45804646971938234}",25,14,10.16716874095033,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.44466151674170695}",20,0,-12.308141994788642,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
76,False,"{'a': 0.3, 'e': 0.4311765167986662}",25,12,-3.3421066644647306,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.4175945039583582}",20,12,0.509174647273666,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.40391853411637296}",25,8,-68.1099386766818,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
79,False,"{'a': 0.3, 'e': 0.3901516843082303}",25,14,-56.42942917169833,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.3, 'e': 0.37629705201705815}",30,15,-51.018493762294035,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.3, 'e': 0.3623577544766736}",25,13,-33.5421380683657,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.3, 'e': 0.34833692797021715}",30,8,-10.355890012553097,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.3342377271245026}",20,3,8.161939900713943,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.3200633242002401}",20,1,12.035631696274756,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.30581690837828934}",20,10,5.318932340318368,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.29150168504210905}",20,3,-41.19537852378754,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
87,False,"{'a': 0.3, 'e': 0.2771208750565576}",30,20,5.885007794115827,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.26267771404321355}",20,12,10.619798623422131,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.24817545165237312}",25,18,10.830518978206367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.233617350831893}",30,19,10.126985666075889,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
